ナンバーズ３４,データダウンロードサービス,http://toe.jp/numbers34/,,,,,,,,,,
回別,抽選日,当せん番号,ストレート口数,ストレート金額,ボックス口数,ボックス金額,セットストレート口数,セットストレート金額,セットボックス口数,セットボックス金額,ミニ口数,ミニ金額
第4903回,2018/04/20(金),955,51,"111,200",322,"37,000",135,"74,100",323,"18,500",547,"11,100"
第4902回,04/19(木),159,63,"98,600",559,"16,400",186,"57,500",884,"8,200",381,"9,800"
第4901回,04/18(水),984,46,"122,500",424,"20,400",112,"71,400",915,"10,200",440,"12,200"
第4900回,04/17(火),993,59,"132,300",179,"44,100",122,"88,200",225,"22,000",374,"13,200"
第4899回,04/16(月),118,129,"86,000",379,"28,600",265,"57,300",348,"14,300",571,"8,600"
第4898回,04/13(金),775,80,"118,100",239,"39,300",148,"78,700",243,"19,600",545,"11,800"
第4897回,04/12(木),196,46,"100,600",529,"16,700",145,"58,600","1,111","8,300",392,"10,000"
第4896回,04/11(水),759,36,"124,000",368,"20,600",147,"72,300",709,"10,300",384,"12,400"
第4895回,04/10(火),16,54,"92,800",586,"15,400",167,"54,100","1,130","7,700",335,"9,200"
第4894回,04/09(月),760,77,"116,200",503,"19,300",131,"67,700",911,"9,600",554,"11,600"
第4893回,04/06(金),516,96,"82,800",462,"13,800",261,"48,300",867,"6,900",400,"8,200"
第4892回,04/05(木),352,42,"100,400",644,"16,700",128,"58,500","1,123","8,300",359,"10,000"
第4891回,04/04(水),750,63,"107,500",418,"17,900",166,"62,700",740,"8,900",358,"10,700"
第4890回,04/03(火),507,76,"99,600",411,"16,600",187,"58,100",660,"8,300",377,"9,900"
第4889回,04/02(月),684,99,"102,200",665,"17,000",159,"59,600","1,045","8,500",424,"10,200"
第4888回,03/30(金),950,51,"109,400",538,"18,200",149,"63,800","1,001","9,100",405,"10,900"
第4887回,03/29(木),339,141,"64,200",389,"21,400",263,"42,800",335,"10,700",552,"6,400"
第4886回,03/28(水),800,58,"112,800",247,"37,600",117,"75,200",268,"18,800",572,"11,200"
第4885回,03/27(火),905,72,"94,700",441,"15,700",196,"55,200",849,"7,800",412,"9,400"
第4884回,03/26(月),484,78,"131,400",308,"43,800",112,"87,600",304,"21,900",408,"13,100"
第4883回,03/23(金),900,123,"65,400",358,"21,800",235,"43,600",407,"10,900","1,333","6,500"
第4882回,03/22(木),29,52,"119,100",407,"19,800",135,"69,400",705,"9,900",458,"11,900"
第4881回,03/21(水),486,41,"109,000",477,"18,100",132,"63,500",809,"9,000",308,"10,900"
第4880回,03/20(火),118,113,"79,300",269,"26,400",235,"52,800",274,"13,200",468,"7,900"
第4879回,03/19(月),217,150,"59,600","1,109","9,900",408,"34,700","1,900","4,900",515,"5,900"
第4878回,03/16(金),399,49,"123,600",189,"41,200",126,"82,400",233,"20,600",570,"12,300"
第4877回,03/15(木),236,89,"59,000",689,"9,800",329,"34,400","1,359","4,900",829,"5,900"
第4876回,03/14(水),363,52,"98,200",305,"32,700",148,"65,400",362,"16,300",408,"9,800"
第4875回,03/13(火),243,47,"99,400",532,"16,500",140,"57,900","1,088","8,200",363,"9,900"
第4874回,03/12(月),497,67,"103,100",586,"17,100",194,"60,100",986,"8,500",576,"10,300"
第4873回,03/09(金),720,48,"122,200",391,"20,300",146,"71,200",747,"10,100",323,"12,200"
第4872回,03/08(木),123,137,"49,200",761,"8,200",388,"28,700","1,418","4,100",524,"4,900"
第4871回,03/07(水),45,79,"94,000",456,"15,600",172,"54,800",910,"7,800",393,"9,400"
第4870回,03/06(火),586,53,"101,900",438,"16,900",162,"59,400",885,"8,400",448,"10,100"
第4869回,03/05(月),411,111,"80,500",325,"26,800",212,"53,600",498,"13,400",862,"8,000"
第4868回,03/02(金),776,56,"147,500",173,"49,100",93,"98,300",223,"24,500",444,"14,700"
第4867回,03/01(木),382,77,"78,100",626,"13,000",202,"45,500","1,334","6,500",418,"7,800"
第4866回,02/28(水),839,61,"86,400",547,"14,400",218,"50,400","1,162","7,200",466,"8,600"
第4865回,02/27(火),350,45,"115,500",428,"19,200",126,"67,300",880,"9,600",443,"11,500"
第4864回,02/26(月),60,77,"133,600",258,"44,500",133,"89,000",310,"22,200",273,"13,300"
第4863回,02/23(金),60,94,"105,300",264,"35,100",135,"70,200",267,"17,500",479,"10,500"
第4862回,02/22(木),320,90,"85,300",451,"14,200",254,"49,700",871,"7,100",320,"8,500"
第4861回,02/21(水),545,53,"151,500",161,"50,500",89,"101,000",179,"25,200",411,"15,100"
第4860回,02/20(火),271,118,"49,500",957,"8,200",382,"28,800","2,102","4,100",412,"4,900"
第4859回,02/19(月),949,64,"150,900",204,"50,300",114,"100,600",240,"25,100",477,"15,000"
第4858回,02/16(金),725,176,"57,800",684,"9,600",398,"33,700","1,212","4,800",593,"5,700"
